scenario_key,scenario_label,year,no_burn_circulating_atho,scenario_circulating_atho,supply_reduction_pct,price_impact_pct_at_ed_0_5,price_impact_pct_at_ed_1_0,price_impact_pct_at_ed_1_5
burn_25,Burn On (25% block capacity),25,99273437.50000000,99273437.50000000,0E-8,0E-8,0E-8,0E-8
burn_25,Burn On (25% block capacity),50,101003906.25000000,100279563.75000000,0.71714306,1.43428611,0.71714306,0.47809537
burn_25,Burn On (25% block capacity),100,103570312.50000000,101035113.75000000,2.44780448,4.89560896,2.44780448,1.63186965
burn_25,Burn On (25% block capacity),250,111269531.25000000,103301763.75000000,7.16078104,14.32156209,7.16078104,4.77385403
burn_50,Burn On (50% block capacity),25,99273437.50000000,99273437.50000000,0E-8,0E-8,0E-8,0E-8
burn_50,Burn On (50% block capacity),50,101003906.25000000,99555221.25000000,1.43428611,2.86857222,1.43428611,0.95619074
burn_50,Burn On (50% block capacity),100,103570312.50000000,98499915.00000000,4.89560896,9.79121792,4.89560896,3.26373931
burn_50,Burn On (50% block capacity),250,111269531.25000000,95333996.25000000,14.32156209,28.64312417,14.32156209,9.54770806
burn_75,Burn On (75% block capacity),25,99273437.50000000,99273437.50000000,0E-8,0E-8,0E-8,0E-8
burn_75,Burn On (75% block capacity),50,101003906.25000000,98830878.75000000,2.15142917,4.30285834,2.15142917,1.43428611
burn_75,Burn On (75% block capacity),100,103570312.50000000,95964716.25000000,7.34341344,14.68682688,7.34341344,4.89560896
burn_75,Burn On (75% block capacity),250,111269531.25000000,87366228.75000000,21.48234313,42.96468626,21.48234313,14.32156209
burn_100,Burn On (100% block capacity),25,99273437.50000000,99273437.50000000,0E-8,0E-8,0E-8,0E-8
burn_100,Burn On (100% block capacity),50,101003906.25000000,98106536.25000000,2.86857222,5.73714445,2.86857222,1.91238148
burn_100,Burn On (100% block capacity),100,103570312.50000000,93429517.50000000,9.79121792,19.58243585,9.79121792,6.52747862
burn_100,Burn On (100% block capacity),250,111269531.25000000,79398461.25000000,28.64312417,57.28624834,28.64312417,19.09541611
