scenario_key,scenario_label,evaluation_year,circulating_supply_atho,protocol_net_change_atho_per_year,loss_rate_pct,annual_lost_atho,net_after_loss_atho_per_year,mode
no_burn_100,No Burn (100% block capacity),25,99273437.50000000,51328.12500000,0.5000,496367.18750000,-445039.06250000,deflationary
no_burn_100,No Burn (100% block capacity),25,99273437.50000000,51328.12500000,1.0000,992734.37500000,-941406.25000000,deflationary
no_burn_100,No Burn (100% block capacity),25,99273437.50000000,51328.12500000,1.5000,1489101.56250000,-1437773.43750000,deflationary
no_burn_100,No Burn (100% block capacity),50,101003906.25000000,51328.12500000,0.5000,505019.53125000,-453691.40625000,deflationary
no_burn_100,No Burn (100% block capacity),50,101003906.25000000,51328.12500000,1.0000,1010039.06250000,-958710.93750000,deflationary
no_burn_100,No Burn (100% block capacity),50,101003906.25000000,51328.12500000,1.5000,1515058.59375000,-1463730.46875000,deflationary
no_burn_100,No Burn (100% block capacity),100,103570312.50000000,51328.12500000,0.5000,517851.56250000,-466523.43750000,deflationary
no_burn_100,No Burn (100% block capacity),100,103570312.50000000,51328.12500000,1.0000,1035703.12500000,-984375.00000000,deflationary
no_burn_100,No Burn (100% block capacity),100,103570312.50000000,51328.12500000,1.5000,1553554.68750000,-1502226.56250000,deflationary
no_burn_100,No Burn (100% block capacity),250,111269531.25000000,51328.12500000,0.5000,556347.65625000,-505019.53125000,deflationary
no_burn_100,No Burn (100% block capacity),250,111269531.25000000,51328.12500000,1.0000,1112695.31250000,-1061367.18750000,deflationary
no_burn_100,No Burn (100% block capacity),250,111269531.25000000,51328.12500000,1.5000,1669042.96875000,-1617714.84375000,deflationary
burn_25,Burn On (25% block capacity),25,99273437.50000000,15111.00000000,0.5000,496367.18750000,-481256.18750000,deflationary
burn_25,Burn On (25% block capacity),25,99273437.50000000,15111.00000000,1.0000,992734.37500000,-977623.37500000,deflationary
burn_25,Burn On (25% block capacity),25,99273437.50000000,15111.00000000,1.5000,1489101.56250000,-1473990.56250000,deflationary
burn_25,Burn On (25% block capacity),50,100279563.75000000,15111.00000000,0.5000,501397.81875000,-486286.81875000,deflationary
burn_25,Burn On (25% block capacity),50,100279563.75000000,15111.00000000,1.0000,1002795.63750000,-987684.63750000,deflationary
burn_25,Burn On (25% block capacity),50,100279563.75000000,15111.00000000,1.5000,1504193.45625000,-1489082.45625000,deflationary
burn_25,Burn On (25% block capacity),100,101035113.75000000,15111.00000000,0.5000,505175.56875000,-490064.56875000,deflationary
burn_25,Burn On (25% block capacity),100,101035113.75000000,15111.00000000,1.0000,1010351.13750000,-995240.13750000,deflationary
burn_25,Burn On (25% block capacity),100,101035113.75000000,15111.00000000,1.5000,1515526.70625000,-1500415.70625000,deflationary
burn_25,Burn On (25% block capacity),250,103301763.75000000,15111.00000000,0.5000,516508.81875000,-501397.81875000,deflationary
burn_25,Burn On (25% block capacity),250,103301763.75000000,15111.00000000,1.0000,1033017.63750000,-1017906.63750000,deflationary
burn_25,Burn On (25% block capacity),250,103301763.75000000,15111.00000000,1.5000,1549526.45625000,-1534415.45625000,deflationary
burn_50,Burn On (50% block capacity),25,99273437.50000000,-21106.12500000,0.5000,496367.18750000,-517473.31250000,deflationary
burn_50,Burn On (50% block capacity),25,99273437.50000000,-21106.12500000,1.0000,992734.37500000,-1013840.50000000,deflationary
burn_50,Burn On (50% block capacity),25,99273437.50000000,-21106.12500000,1.5000,1489101.56250000,-1510207.68750000,deflationary
burn_50,Burn On (50% block capacity),50,99555221.25000000,-21106.12500000,0.5000,497776.10625000,-518882.23125000,deflationary
burn_50,Burn On (50% block capacity),50,99555221.25000000,-21106.12500000,1.0000,995552.21250000,-1016658.33750000,deflationary
burn_50,Burn On (50% block capacity),50,99555221.25000000,-21106.12500000,1.5000,1493328.31875000,-1514434.44375000,deflationary
burn_50,Burn On (50% block capacity),100,98499915.00000000,-21106.12500000,0.5000,492499.57500000,-513605.70000000,deflationary
burn_50,Burn On (50% block capacity),100,98499915.00000000,-21106.12500000,1.0000,984999.15000000,-1006105.27500000,deflationary
burn_50,Burn On (50% block capacity),100,98499915.00000000,-21106.12500000,1.5000,1477498.72500000,-1498604.85000000,deflationary
burn_50,Burn On (50% block capacity),250,95333996.25000000,-21106.12500000,0.5000,476669.98125000,-497776.10625000,deflationary
burn_50,Burn On (50% block capacity),250,95333996.25000000,-21106.12500000,1.0000,953339.96250000,-974446.08750000,deflationary
burn_50,Burn On (50% block capacity),250,95333996.25000000,-21106.12500000,1.5000,1430009.94375000,-1451116.06875000,deflationary
burn_75,Burn On (75% block capacity),25,99273437.50000000,-57323.25000000,0.5000,496367.18750000,-553690.43750000,deflationary
burn_75,Burn On (75% block capacity),25,99273437.50000000,-57323.25000000,1.0000,992734.37500000,-1050057.62500000,deflationary
burn_75,Burn On (75% block capacity),25,99273437.50000000,-57323.25000000,1.5000,1489101.56250000,-1546424.81250000,deflationary
burn_75,Burn On (75% block capacity),50,98830878.75000000,-57323.25000000,0.5000,494154.39375000,-551477.64375000,deflationary
burn_75,Burn On (75% block capacity),50,98830878.75000000,-57323.25000000,1.0000,988308.78750000,-1045632.03750000,deflationary
burn_75,Burn On (75% block capacity),50,98830878.75000000,-57323.25000000,1.5000,1482463.18125000,-1539786.43125000,deflationary
burn_75,Burn On (75% block capacity),100,95964716.25000000,-57323.25000000,0.5000,479823.58125000,-537146.83125000,deflationary
burn_75,Burn On (75% block capacity),100,95964716.25000000,-57323.25000000,1.0000,959647.16250000,-1016970.41250000,deflationary
burn_75,Burn On (75% block capacity),100,95964716.25000000,-57323.25000000,1.5000,1439470.74375000,-1496793.99375000,deflationary
burn_75,Burn On (75% block capacity),250,87366228.75000000,-57323.25000000,0.5000,436831.14375000,-494154.39375000,deflationary
burn_75,Burn On (75% block capacity),250,87366228.75000000,-57323.25000000,1.0000,873662.28750000,-930985.53750000,deflationary
burn_75,Burn On (75% block capacity),250,87366228.75000000,-57323.25000000,1.5000,1310493.43125000,-1367816.68125000,deflationary
burn_100,Burn On (100% block capacity),25,99273437.50000000,-93540.37500000,0.5000,496367.18750000,-589907.56250000,deflationary
