scenario_key,scenario_label,year,end_height,burn_active,capacity_pct,reward_per_block_atho,annual_issuance_atho,annual_fees_total_atho,annual_burn_atho,annual_miner_fees_atho,annual_miner_revenue_atho,cumulative_emitted_atho,cumulative_burned_atho,circulating_supply_atho,annual_net_change_atho,annual_net_rate_pct,tx_per_block_est,tps_est
no_burn_100,No Burn (100% block capacity),0,-1,0,100.0000,10.00000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,4416,36.80000000
no_burn_100,No Burn (100% block capacity),1,262799,0,100.0000,10.00000000,2678000.00000000,147825.00000000,0E-8,147825.00000000,2825825.00000000,2678000.00000000,0E-8,2678000.00000000,2678000.00000000,0E-8,4416,36.80000000
no_burn_100,No Burn (100% block capacity),2,525599,0,100.0000,10.00000000,2628000.00000000,147825.00000000,0E-8,147825.00000000,2775825.00000000,5306000.00000000,0E-8,5306000.00000000,2628000.00000000,98.13293503,4416,36.80000000
no_burn_100,No Burn (100% block capacity),3,788399,0,100.0000,10.00000000,2628000.00000000,147825.00000000,0E-8,147825.00000000,2775825.00000000,7934000.00000000,0E-8,7934000.00000000,2628000.00000000,49.52883528,4416,36.80000000
no_burn_100,No Burn (100% block capacity),4,1051199,0,100.0000,10.00000000,2628000.00000000,147825.00000000,0E-8,147825.00000000,2775825.00000000,10562000.00000000,0E-8,10562000.00000000,2628000.00000000,33.12326695,4416,36.80000000
no_burn_100,No Burn (100% block capacity),5,1313999,0,100.0000,10.00000000,2628000.00000000,147825.00000000,0E-8,147825.00000000,2775825.00000000,13190000.00000000,0E-8,13190000.00000000,2628000.00000000,24.88165120,4416,36.80000000
no_burn_100,No Burn (100% block capacity),6,1576799,0,100.0000,5.00000000,1314000.00000000,147825.00000000,0E-8,147825.00000000,1461825.00000000,14504000.00000000,0E-8,14504000.00000000,1314000.00000000,9.96209249,4416,36.80000000
no_burn_100,No Burn (100% block capacity),7,1839599,0,100.0000,5.00000000,1314000.00000000,147825.00000000,0E-8,147825.00000000,1461825.00000000,15818000.00000000,0E-8,15818000.00000000,1314000.00000000,9.05956977,4416,36.80000000
no_burn_100,No Burn (100% block capacity),8,2102399,0,100.0000,5.00000000,1314000.00000000,147825.00000000,0E-8,147825.00000000,1461825.00000000,17132000.00000000,0E-8,17132000.00000000,1314000.00000000,8.30699203,4416,36.80000000
no_burn_100,No Burn (100% block capacity),9,2365199,0,100.0000,5.00000000,1314000.00000000,147825.00000000,0E-8,147825.00000000,1461825.00000000,18446000.00000000,0E-8,18446000.00000000,1314000.00000000,7.66985758,4416,36.80000000
no_burn_100,No Burn (100% block capacity),10,2627999,0,100.0000,5.00000000,1314000.00000000,147825.00000000,0E-8,147825.00000000,1461825.00000000,19760000.00000000,0E-8,19760000.00000000,1314000.00000000,7.12349561,4416,36.80000000
no_burn_100,No Burn (100% block capacity),11,2890799,0,100.0000,2.50000000,657000.00000000,147825.00000000,0E-8,147825.00000000,804825.00000000,20417000.00000000,0E-8,20417000.00000000,657000.00000000,3.32489879,4416,36.80000000
no_burn_100,No Burn (100% block capacity),12,3153599,0,100.0000,2.50000000,657000.00000000,147825.00000000,0E-8,147825.00000000,804825.00000000,21074000.00000000,0E-8,21074000.00000000,657000.00000000,3.21790665,4416,36.80000000
no_burn_100,No Burn (100% block capacity),13,3416399,0,100.0000,2.50000000,657000.00000000,147825.00000000,0E-8,147825.00000000,804825.00000000,21731000.00000000,0E-8,21731000.00000000,657000.00000000,3.11758565,4416,36.80000000
no_burn_100,No Burn (100% block capacity),14,3679199,0,100.0000,2.50000000,657000.00000000,147825.00000000,0E-8,147825.00000000,804825.00000000,22388000.00000000,0E-8,22388000.00000000,657000.00000000,3.02333073,4416,36.80000000
